Ticker,Name,1-Day %,AUM,Div Yield (TTM),Flow % AUM-D,Flow %AUM-W,Flow %AUM-M,Flow %AUM-FQ, Flow %AUM-Y,Total Return (1M),Total Return (3M),Fund Flows/Periodic (D),Fund Flows/Periodic (W),Fund Flows/Periodic (M),Fund Flows/Periodic (FQ),Fund Flows/Periodic (Y),Total Return (YTD)
LQD,iShares iBoxx IG Corporate Bond ETF,0.0004,35230.55,0.0459,0.0043,0.0212,0.1863,0.1330,0.1871,-0.0030,-0.0052,150.87,747.80,6561.86,4686.29,6590.23,-0.0003
HYG,iShares High Yield Bond ETF,0.0011,16859.07,0.0590,-0.0165,-0.0373,0.0483,0.0111,-0.0169,0.0063,0.0084,-278.93,-629.44,814.85,186.57,-284.90,0.0188
JAAA,Janus Detroit CLO ETF,0.0004,29021.91,0.0495,0.0014,0.0185,0.0395,0.0793,0.2414,0.0036,0.0129,40.42,537.97,1147.60,2300.27,7006.09,0.0229
IWM,iShares Russell 2000 ETF,0.0128,82092.06,0.0089,0.0056,0.0179,0.0238,-0.0009,-0.0499,0.0454,0.1374,459.10,1470.71,1957.34,-71.40,-4096.57,0.2125
QQQ,QQQ Trust,0.0166,474287.58,0.0042,-0.0051,-0.0116,0.0106,0.0288,0.0367,0.0230,0.1866,-2412.89,-5509.99,5017.63,13665.65,17427.93,0.1802
BKLN,Invesco Senior Loan ETF,0.0005,7183.21,0.0657,-0.0006,-0.0006,0.0028,0.1131,0.0422,0.0030,0.0087,-4.09,-4.09,20.19,812.60,302.86,0.0031
SPY,SPDR S&P 500 ETF,0.0085,776864.47,0.0100,-0.0031,-0.0068,-0.0061,0.0259,0.0132,0.0225,0.1084,-2430.04,-5290.01,-4732.33,20095.98,10285.05,0.1082
MCHI,iShares MSCI China ETF,0.0064,6075.58,0.0206,0.0000,-0.0069,-0.0069,-0.0393,-0.0175,-0.0139,-0.0641,0.00,-41.86,-41.86,-238.51,-106.27,-0.1087
BIL,SPDR 1-3 Month T-Bill ETF,0.0001,46748.05,0.0381,0.0043,0.0024,-0.0145,-0.0928,0.1036,0.0029,0.0089,202.09,110.74,-678.90,-4339.81,4844.73,0.0184
IBIT,iShares Bitcoin ETF,0.0165,45546.45,,-0.0013,0.0034,-0.0453,-0.0719,0.1554,0.0191,-0.1247,-60.57,156.94,-2062.14,-3272.57,7079.43,-0.2788
Median  ,-,0.0038,40388.50,0.0381,-0.0003,0.0009,0.0067,0.0185,0.0395,0.0049,0.0088,-2.05,53.32,417.52,499.59,5717.48,0.0186
Average  ,-,0.0063,151990.89,0.0336,-0.0011,0.0000,0.0239,0.0186,0.0695,0.0109,0.0277,-433.40,-845.12,800.42,3382.51,4904.86,0.0176
Min  ,-,0.0001,6075.58,0.0042,-0.0165,-0.0373,-0.0453,-0.0928,-0.0499,-0.0139,-0.1247,-2430.04,-5509.99,-4732.33,-4339.81,-4096.57,-0.2788
Max  ,-,0.0166,776864.47,0.0657,0.0056,0.0212,0.1863,0.1330,0.2414,0.0454,0.1866,459.10,1470.71,6561.86,20095.98,17427.93,0.2125
