Ticker,Name,1-Day %,AUM,Div Yield (TTM),Flow % AUM-D,Flow %AUM-W,Flow %AUM-M,Flow %AUM-FQ, Flow %AUM-Y,Total Return (1M),Total Return (3M),Fund Flows/Periodic (D),Fund Flows/Periodic (W),Fund Flows/Periodic (M),Fund Flows/Periodic (FQ),Fund Flows/Periodic (Y),Total Return (YTD)
LQD,iShares iBoxx IG Corporate Bond ETF,0.0012,35230.55,0.0459,0.0043,0.0407,0.1844,0.1423,0.1874,0.0011,-0.0044,150.87,1434.71,6496.94,5013.18,6601.07,0.0005
JAAA,Janus Detroit CLO ETF,0.0003,29021.91,0.0495,0.0014,0.0200,0.0399,0.0786,0.2400,0.0033,0.0130,40.42,580.88,1157.71,2280.09,6965.62,0.0228
HYG,iShares High Yield Bond ETF,0.0017,16859.07,0.0590,-0.0165,-0.0525,0.0361,0.0379,-0.0226,0.0079,0.0101,-278.93,-885.12,608.39,639.35,-380.97,0.0194
IWM,iShares Russell 2000 ETF,0.0124,82092.06,0.0089,0.0056,0.0058,0.0211,-0.0006,-0.0527,0.0483,0.1434,459.10,479.57,1731.87,-46.13,-4327.31,0.2120
QQQ,QQQ Trust,0.0104,474287.58,0.0042,-0.0051,0.0111,0.0057,0.0340,0.0384,0.0050,0.1874,-2412.89,5278.91,2691.00,16108.99,18228.37,0.1729
BKLN,Invesco Senior Loan ETF,0.0002,7183.21,0.0657,-0.0006,-0.0006,0.0042,0.1194,0.0433,0.0033,0.0065,-4.09,-4.09,30.44,857.67,311.25,0.0029
MCHI,iShares MSCI China ETF,0.0038,6075.58,0.0207,0.0000,-0.0069,-0.0069,-0.0393,-0.0175,-0.0098,-0.0680,0.00,-41.86,-41.86,-238.51,-106.27,-0.1110
BIL,SPDR 1-3 Month T-Bill ETF,0.0002,46748.05,0.0381,0.0043,0.0107,-0.0080,-0.1022,0.0984,0.0030,0.0090,202.09,498.40,-376.23,-4776.00,4602.25,0.0184
SPY,SPDR S&P 500 ETF,0.0036,776864.47,0.0101,-0.0031,-0.0008,-0.0121,0.0349,0.0159,0.0146,0.1095,-2430.04,-583.07,-9412.56,27150.59,12364.66,0.1028
IBIT,iShares Bitcoin ETF,0.0084,45546.45,,-0.0013,-0.0012,-0.0501,-0.0710,0.1569,-0.0101,-0.1211,-60.57,-56.83,-2281.21,-3233.68,7145.77,-0.2845
Median  ,-,0.0026,40388.50,0.0381,-0.0003,0.0026,0.0050,0.0345,0.0409,0.0033,0.0095,-2.05,237.74,319.41,748.51,5601.66,0.0189
Average  ,-,0.0042,151990.89,0.0336,-0.0011,0.0026,0.0214,0.0234,0.0688,0.0066,0.0285,-433.40,670.15,60.45,4375.56,5140.45,0.0156
Min  ,-,0.0002,6075.58,0.0042,-0.0165,-0.0525,-0.0501,-0.1022,-0.0527,-0.0101,-0.1211,-2430.04,-885.12,-9412.56,-4776.00,-4327.31,-0.2845
Max  ,-,0.0124,776864.47,0.0657,0.0056,0.0407,0.1844,0.1423,0.2400,0.0483,0.1874,459.10,5278.91,6496.94,27150.59,18228.37,0.2120
